DW_OrderID,Sale Date,Quantity, Amount , Total_Discount ,DW_CustomerID
107020-1,25/04/2023,2, $11.98 , $-   ,48511
107020-10,15/04/2023,1, $13.46 , $-   ,3132
107020-11,20/08/2021,1, $13.46 , $-   ,2952
107020-12,20/08/2022,1, $27.99 , $-   ,7912
107020-13,17/06/2022,2, $21.25 , $3.75 ,52066
107020-14,07/12/2022,1, $27.99 , $-   ,9679
107020-15,26/11/2022,1, $16.99 , $-   ,9655
107020-16,01/05/2023,1, $8.99 , $-   ,1951
107020-17,01/09/2022,1, $8.99 , $-   ,24735
107020-18,21/10/2023,1, $8.99 , $-   ,6449
107020-19,16/02/2023,1, $22.99 , $-   ,4941
107020-2,21/04/2022,1, $8.99 , $-   ,22619
107020-20,27/11/2022,1, $22.99 , $-   ,18341
107020-21,16/08/2023,1, $8.99 , $-   ,48239
107020-22,09/12/2023,1, $8.99 , $-   ,31961
107020-23,08/11/2022,1, $8.99 , $-   ,48729
107020-24,26/10/2022,1, $8.99 , $-   ,19174
107020-25,20/11/2022,1, $8.99 , $-   ,39614
107020-26,24/02/2021,1, $8.55 , $0.95 ,13193
107020-27,10/06/2022,1, $9.50 , $-   ,2235
107020-28,28/02/2023,1, $9.50 , $-   ,44349
107020-29,13/10/2022,1, $8.99 , $-   ,343
107020-3,16/08/2023,1, $10.99 , $-   ,27648
107020-30,04/11/2022,1, $8.99 , $-   ,20700
107020-31,07/10/2023,1, $8.99 , $-   ,3979
107020-32,17/07/2021,1, $12.50 , $-   ,2001
107020-33,07/07/2023,1, $12.50 , $-   ,29378
107020-34,03/12/2022,1, $8.99 , $-   ,11785
107020-35,27/08/2022,1, $8.99 , $-   ,39235
107020-36,26/04/2021,1, $8.99 , $-   ,45174
107020-37,18/03/2023,2, $23.98 , $-   ,14163
107020-38,20/01/2021,1, $11.99 , $-   ,9154
107020-39,16/10/2021,2, $43.42 , $1.08 ,13667
107020-4,02/10/2021,1, $8.99 , $-   ,19752
107020-40,16/09/2021,3, $27.48 , $-   ,41003
107020-41,17/07/2021,2, $14.98 , $-   ,46559
107020-42,17/06/2023,2, $18.98 , $-   ,35955
107020-43,04/08/2022,3, $26.97 , $-   ,52842
107020-44,10/11/2021,2, $19.98 , $-   ,38904
107020-45,03/11/2021,4, $68.96 , $-   ,20614
107020-46,04/05/2023,3, $31.44 , $-   ,23600
107020-5,18/04/2021,1, $8.99 , $-   ,14324
107020-6,18/08/2022,1, $5.99 , $-   ,30580
107020-7,18/03/2022,1, $5.99 , $-   ,4068
107020-8,21/09/2022,1, $8.99 , $-   ,26860
107020-9,21/09/2023,1, $8.99 , $-   ,39605
107021-100,25/10/2023,2, $29.42 , $1.08 ,6688
107021-101,09/08/2021,2, $20.54 , $0.95 ,29180
107021-2120,01/03/2021,2, $21.25 , $3.75 ,40087
107021-47,05/09/2021,1, $10.99 , $-   ,14109
107021-48,05/03/2022,1, $6.99 , $-   ,25588
107021-49,29/06/2022,1, $8.99 , $-   ,19885
107021-50,18/11/2021,1, $5.99 , $-   ,50478
107021-51,12/05/2022,1, $5.99 , $-   ,45753
107021-52,18/09/2023,1, $12.50 , $-   ,44394
107021-53,29/07/2021,2, $47.98 , $-   ,27442
107021-54,24/05/2022,1, $10.63 , $1.88 ,34230
107021-56,31/08/2021,1, $10.63 , $1.88 ,27141
