DW_CustomerID,Country,Year of birth,Continent,Gender,Age,Age_Group
3,United States,2007,America,M,17,0-18
4,Germany,1998,Europe,M,26,19-30
7,Canada,1971,America,F,53,41-60
8,France,2004,Europe,M,20,19-30
9,Germany,1949,Europe,F,75,60+
11,Belgium,1947,Europe,F,77,60+
12,Italy,1947,Europe,M,77,60+
14,United Kingdom,1949,Europe,F,75,60+
15,Denmark,1980,Europe,F,44,41-60
17,Canada,1947,America,M,77,60+
18,Norway,1999,Europe,F,25,19-30
19,United States,2005,America,F,19,19-30
22,United States,1966,America,F,58,41-60
26,Belgium,1970,Europe,M,54,41-60
28,United Kingdom,1999,Europe,F,25,19-30
30,Israel,2008,Europe,F,16,0-18
31,United Kingdom,1951,Europe,F,73,60+
32,United States,2001,America,F,23,19-30
35,Italy,1955,Europe,M,69,60+
36,United Kingdom,1951,Europe,F,73,60+
37,Finland,2001,Europe,M,23,19-30
41,Finland,1945,Europe,F,79,60+
47,Italy,1999,Europe,M,25,19-30
50,United Kingdom,1966,Europe,F,58,41-60
52,Finland,2003,Europe,F,21,19-30
55,United Kingdom,1970,Europe,F,54,41-60
61,United Kingdom,1949,Europe,M,75,60+
64,United Kingdom,1947,Europe,F,77,60+
65,Spain,1950,Europe,F,74,60+
71,Canada,1992,America,M,32,31-40
75,Belgium,1989,Europe,F,35,31-40
77,Switzerland,2006,Europe,F,18,0-18
79,Canada,2002,America,F,22,19-30
81,United States,1973,America,M,51,41-60
82,United Kingdom,1983,Europe,F,41,41-60
83,United Kingdom,1985,Europe,M,39,31-40
84,Canada,1958,America,F,66,60+
85,United States,1998,America,M,26,19-30
88,Canada,1946,America,F,78,60+
90,Switzerland,1995,Europe,M,29,19-30
92,Canada,1983,America,F,41,41-60
93,Norway,2002,Europe,F,22,19-30
96,Canada,1969,America,F,55,41-60
97,Canada,1964,America,M,60,41-60
101,United States,1966,America,M,58,41-60
104,United Kingdom,1962,Europe,F,62,60+
105,United States,1955,America,F,69,60+
107,United Kingdom,2003,Europe,F,21,19-30
108,Norway,1965,Europe,M,59,41-60
109,United Kingdom,2002,Europe,M,22,19-30
111,United Kingdom,1999,Europe,F,25,19-30
113,Canada,1945,America,M,79,60+
115,United Kingdom,1959,Europe,F,65,60+
116,United States,1975,America,M,49,41-60
118,United Kingdom,1944,Europe,M,80,60+
121,Canada,2004,America,M,20,19-30
124,United Kingdom,1947,Europe,F,77,60+
125,United Kingdom,1960,Europe,F,64,60+
126,United Kingdom,1954,Europe,F,70,60+
129,United States,2006,America,M,18,0-18
130,Spain,1959,Europe,F,65,60+
132,Canada,2008,America,M,16,0-18
133,United Kingdom,1999,Europe,M,25,19-30
134,Belgium,2003,Europe,M,21,19-30
135,Canada,1961,America,M,63,60+
136,United Kingdom,1954,Europe,M,70,60+
138,Israel,2005,Europe,F,19,19-30
141,United States,1983,America,F,41,41-60
143,Denmark,1974,Europe,F,50,41-60
146,Netherlands,1963,Europe,F,61,60+
148,Canada,1946,America,F,78,60+
149,United Kingdom,1961,Europe,F,63,60+
150,United Kingdom,1945,Europe,M,79,60+
151,United States,1964,America,M,60,41-60
152,Canada,1954,America,F,70,60+
153,Finland,2009,Europe,M,15,0-18
154,Switzerland,1974,Europe,F,50,41-60
162,Switzerland,1948,Europe,F,76,60+
165,Israel,1958,Europe,F,66,60+
166,United States,1998,America,F,26,19-30
167,United States,1972,America,M,52,41-60
168,Finland,2003,Europe,F,21,19-30
169,United States,2000,America,M,24,19-30
172,Denmark,1962,Europe,M,62,60+
174,Canada,1970,America,F,54,41-60
175,Canada,1966,America,F,58,41-60
177,Denmark,1985,Europe,M,39,31-40
178,United States,2004,America,M,20,19-30
179,United States,2000,America,F,24,19-30
180,Netherlands,1950,Europe,M,74,60+
183,Canada,1967,America,M,57,41-60
184,Norway,2007,Europe,M,17,0-18
186,United Kingdom,1963,Europe,F,61,60+
188,United States,1988,America,M,36,31-40
191,Israel,1948,Europe,F,76,60+
193,Finland,1946,Europe,F,78,60+
194,Canada,1975,America,F,49,41-60
195,Norway,1947,Europe,M,77,60+
199,Netherlands,1945,Europe,F,79,60+
201,United States,1949,America,M,75,60+
202,United Kingdom,1961,Europe,M,63,60+
203,United States,1993,America,F,31,31-40
204,Canada,1963,America,F,61,60+
206,United Kingdom,1946,Europe,F,78,60+
207,Netherlands,1990,Europe,F,34,31-40
208,France,1970,Europe,M,54,41-60
210,Norway,2001,Europe,F,23,19-30
211,Denmark,2005,Europe,F,19,19-30
212,Canada,1982,America,M,42,41-60
214,Switzerland,1972,Europe,F,52,41-60
215,United States,1984,America,F,40,31-40
216,United States,1969,America,M,55,41-60
217,Canada,1946,America,F,78,60+
218,Canada,1991,America,M,33,31-40
219,Italy,2005,Europe,M,19,19-30
222,United Kingdom,1969,Europe,F,55,41-60
224,Sweden,1951,Europe,M,73,60+
225,Spain,2000,Europe,F,24,19-30
226,Germany,1946,Europe,F,78,60+
228,United States,1969,America,M,55,41-60
230,United States,2008,America,M,16,0-18
232,Finland,1948,Europe,F,76,60+
233,United States,1965,America,F,59,41-60
234,Finland,2003,Europe,F,21,19-30
237,United Kingdom,1965,Europe,F,59,41-60
244,Germany,1974,Europe,F,50,41-60
245,Canada,1947,America,M,77,60+
246,Italy,1947,Europe,F,77,60+
247,United Kingdom,1980,Europe,F,44,41-60
249,Germany,1946,Europe,F,78,60+
251,Canada,1950,America,M,74,60+
252,United Kingdom,1947,Europe,M,77,60+
253,Sweden,2002,Europe,F,22,19-30
254,United Kingdom,1970,Europe,F,54,41-60
257,Italy,1998,Europe,F,26,19-30
259,Italy,2000,Europe,M,24,19-30
261,United States,1942,America,M,82,60+
263,Germany,1958,Europe,F,66,60+
