DW_ISBN,Format,Publication Date,Pages,Print Run Size (k), Price 
989-28-79-70597-8,Hardcover,29/05/2008,277,15, $27.99 
989-28-654-6930-3,Hardcover,14/08/2008,394,6, $30.99 
989-28-79-52883-6,Hardcover,04/09/2008,384,10, $27.99 
989-28-79-43574-5,Graphic,11/09/2008,187,8, $23.99 
989-28-654-5794-2,Hardcover,25/09/2008,640,3, $26.99 
989-28-79-44730-4,Mass market paperback,01/01/2009,575,4, $8.99 
989-28-654-5771-3,Trade paperback,08/01/2009,631,5, $15.99 
989-28-79-04510-4,Mass market paperback,12/02/2009,264,25, $8.99 
989-28-79-18127-7,Hardcover,19/04/2009,704,15, $27.99 
989-28-79-68089-3,Hardcover,13/05/2009,401,10, $21.50 
989-28-79-22871-2,Mass market paperback,08/07/2009,452,15, $8.99 
989-28-79-01991-4,Trade paperback,02/09/2009,356,16, $12.50 
989-28-654-0047-4,Trade paperback,14/04/2010,371,6, $15.99 
989-28-79-67891-3,Hardcover,21/07/2010,105,14, $27.99 
989-28-654-2620-7,Hardcover,08/09/2010,390,4, $32.99 
989-28-3705-054-6,Paperback,02/03/2011,28,18, $7.99 
989-28-79-45675-7,Trade paperback,29/06/2011,105,20, $12.50 
989-28-79-82749-6,Hardcover,06/07/2011,384,5, $22.99 
989-28-79-30536-9,Mass market paperback,22/07/2011,311,22, $8.99 
989-28-229-1404-4,Mass market paperback,07/12/2011,381,11, $9.50 
989-28-229-7592-2,Mass market paperback,01/03/2012,362,13, $9.50 
989-28-3705-222-9,Trade paperback,19/07/2012,256,35, $11.99 
989-28-79-69807-2,Mass market paperback,20/09/2012,414,12, $8.99 
989-28-79-42728-3,Hardcover,01/11/2012,493,20, $27.99 
989-28-654-7965-4,Hardcover,13/12/2012,288,3, $29.99 
989-28-79-87459-9,Graphic,17/12/2012,88,3, $23.99 
989-28-229-6632-6,Mass market paperback,10/02/2013,423,16, $9.50 
989-28-79-32105-5,Mass market paperback,21/02/2013,390,29, $8.99 
989-28-79-71565-6,Hardcover,21/02/2013,819,25, $21.50 
989-28-79-43841-8,Hardcover,27/03/2013,373,3, $18.50 
989-28-79-61125-5,Trade paperback,22/05/2013,470,40, $12.50 
989-28-654-0127-3,Trade paperback,04/12/2013,295,7, $16.99 
989-28-654-9826-6,Hardcover,11/12/2013,480,4, $28.99 
989-28-654-8573-0,Hardcover,08/01/2014,598,9, $23.99 
989-28-79-82125-8,Hardcover,05/02/2014,293,10, $22.99 
989-28-79-14379-4,Trade paperback,24/02/2014,373,42, $11.99 
989-28-654-6033-1,Trade paperback,31/12/2014,598,12, $15.99 
989-28-229-0197-6,Mass market paperback,04/02/2015,255,20, $9.50 
989-28-654-4370-9,Trade paperback,25/03/2015,480,5, $15.99 
989-28-79-13801-1,Mass market paperback,15/07/2015,672,71, $8.99 
989-28-3705-633-3,Hardcover,05/08/2015,222,3, $19.99 
989-28-3705-987-7,Trade paperback,18/09/2015,188,10, $8.99 
989-28-79-13871-4,Mass market paperback,23/09/2015,357,25, $8.99 
989-28-79-05638-4,Hardcover,11/11/2015,485,12, $27.99 
989-28-79-91028-0,Trade paperback,10/04/2016,784,50, $12.50 
989-28-3705-966-2,Paperback,28/04/2016,31,25, $10.99 
989-28-3705-607-4,Trade paperback,21/07/2016,218,10, $11.99 
989-28-229-5891-8,Mass market paperback,21/07/2016,380,25, $9.50 
989-28-3705-592-3,Board book,06/10/2016,12,8, $6.99 
989-28-79-82197-5,Trade paperback,01/12/2016,469,20, $12.50 
989-28-79-22562-9,Hardcover,08/12/2016,356,18, $20.99 
989-28-79-40897-8,Hardcover,16/02/2017,656,32, $21.50 
989-28-79-23015-9,Hardcover,01/03/2017,404,2, $18.50 
989-28-3705-152-9,Paperback,29/03/2017,20,10, $7.99 
989-28-3705-583-1,Board book,03/05/2017,13,10, $6.99 
989-28-79-07610-8,Hardcover,10/05/2017,432,25, $27.99 
989-28-3705-649-4,Board book,05/07/2017,11,10, $6.99 
989-28-79-51397-9,Hardcover,23/08/2017,292,40, $21.50 
989-28-3705-775-0,Paperback,01/11/2017,22,15, $7.99 
989-28-79-05670-4,Mass market paperback,15/11/2017,338,26, $8.99 
989-28-3705-136-9,Paperback,03/01/2018,15,17, $7.99 
989-28-79-56856-6,Hardcover,14/02/2018,434,25, $21.50 
989-28-79-26824-4,Mass market paperback,04/04/2018,280,40, $8.99 
989-28-229-3157-7,Mass market paperback,11/04/2018,336,35, $9.50 
989-28-3705-492-6,Trade paperback,20/04/2018,404,7, $11.99 
989-28-3705-138-3,Board book,23/05/2018,12,18, $6.99 
989-28-3705-007-2,Board book,30/05/2018,16,55, $5.99 
989-28-3705-369-1,Paperback,10/10/2018,20,18, $7.99 
989-28-79-23023-4,Mass market paperback,17/10/2018,792,78, $8.99 
989-28-79-21991-8,Mass market paperback,21/11/2018,341,45, $8.99 
989-28-79-68531-7,Hardcover,02/01/2019,437,7, $21.50 
989-28-79-96705-5,Mass market paperback,13/03/2019,381,50, $8.99 
989-28-79-16826-1,Graphic,20/03/2019,85,3, $23.99 
989-28-654-2017-5,Hardcover,05/06/2019,337,16, $29.99 
989-28-79-16533-8,Hardcover,12/02/2020,531,9, $21.50 
989-28-79-69359-6,Hardcover,26/02/2020,706,6, $21.50 
989-28-79-16808-7,Trade paperback,14/05/2020,458,11, $12.50 
989-28-654-5018-9,Trade paperback,11/07/2020,385,20, $16.99 
989-28-79-36485-4,Trade paperback,10/09/2020,520,15, $12.50 
989-28-79-27078-0,Graphic,01/10/2020,192,4, $23.99 
989-28-79-55824-6,Mass market paperback,17/12/2020,651,15, $8.99 
989-28-79-82339-9,Hardcover,18/02/2021,421,10, $21.50 
989-28-654-9484-8,Hardcover,25/02/2021,400,8, $23.99 
989-28-654-3988-7,Hardcover,10/03/2021,368,2, $48.00 
989-28-79-86624-2,Hardcover,09/05/2021,1296,30, $35.84 
989-28-79-64693-6,Trade paperback,20/08/2021,645,36, $12.50 
989-28-229-9769-6,Mass market paperback,15/09/2021,368,37, $9.50 
989-28-3705-763-7,Hardcover,10/11/2021,324,3, $22.99 
989-28-79-74374-1,Hardcover,29/12/2021,1218,40, $21.50 
989-28-79-55752-2,Mass market paperback,30/03/2022,398,18, $8.99 
989-28-654-6507-7,Trade paperback,11/05/2022,387,8, $15.99 
989-28-79-03683-6,Hardcover,29/06/2022,340,35, $18.50 
989-28-654-3899-6,Hardcover,10/08/2022,207,2, $29.99 
989-28-79-11297-4,Trade paperback,21/08/2022,1296,30, $13.46 
989-28-3705-205-2,Trade paperback,14/09/2022,324,8, $11.99 
